respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.1907050416903359,0.3655877488524548
26708,0.04298136123136122,0.06771742092330327
26709,0.2813325785411701,0.7344128381937978
26710,0.5820235505951447,0.865794689730061
26711,0.3057330943187721,0.4884966023367556
26712,0.7231815350398941,0.9060756177373823
26713,0.31092465949083625,0.5973061325928973
26714,0.11640147080588255,0.22685206841089192
26715,0.02194148331648332,0.1125632498612144
26716,0.22869058024592087,0.822595175793705
26717,0.09071710593614617,0.452723348546878
26718,0.3386097083028199,0.5110034360347828
26719,0.16544505077825514,0.8535577426815818
26720,0.04224914899914899,0.25421909231119766
26721,0.35209063757593173,0.5223206485780015
26722,0.07252391725921135,0.1749337067131186
26723,0.6621217329998285,0.8588096522930114
26724,0.05377959703694998,0.6250030680104212
26725,0.04050080012580012,0.13520167976474695
26726,0.09962691611221022,0.0982767012112987
26727,0.43295118089971035,0.8063119655399064
26728,0.24911752762488068,0.5281583824672061
26729,0.22231208298352267,0.4871884484338047
26730,0.06341899796738505,0.21630696126827417
26731,0.0650856341943803,0.313597762560224
26732,0.1989590227883573,0.3105713554448075
26733,0.8710828191416428,0.9239976113211409
26734,0.47143570395892387,0.5315271087844621
26735,0.09503277521698572,0.36622990939515726
26736,0.05242068606774488,0.13921065862242332
26737,0.09373507369250401,0.16555320264644585
26738,0.7133553399215159,0.8224952724290959
26739,0.08744559342364804,0.23562962629854742
26740,0.16107547159869148,0.23146898511991404
26741,0.14411368907150643,0.8038886468994826
26742,0.10045541231191435,0.34520760576793746
26743,0.07686200664374038,0.350104469847891
26744,0.0825959473533003,0.657124418409248
26745,0.1343140586909937,0.7432074777074779
26746,0.12817438868321226,0.2546170643082409
26747,0.05925083059641883,0.14847559548808162
26748,0.09223669629590682,0.14986965665913032
26749,0.11081071582929167,0.6412708773281528
26750,0.4286697408055768,0.8262182915124088
26751,0.567739777379483,0.8133281419016709
26752,0.07595157939469083,0.16351088302249295
26753,0.21822070327333506,0.5531037797485167
26754,0.2539105320920336,0.5103317421455965
26755,0.15971541019180346,0.4447507108188223
26756,0.01940634316950106,0.07758419358419359
26757,0.31783969872800805,0.5063155164402808
26758,0.3835653409055113,0.6608367408019109
26759,0.022866729225939755,0.10953329073826838
26760,0.057317067367700265,0.10966803777563267
26761,0.3740801437984102,0.6286568377156613
26762,0.21015533567739456,0.6717318423320748
26763,0.7909485606985608,0.8959244048435226
26764,0.8057140058657085,0.855515651173159
26765,0.17323862731409176,0.591957989493593
26766,0.1402318073491347,0.2015741549229402
26767,0.7291719604068674,0.6826118838734934
26768,0.12430092402151222,0.45713859621057784
26769,0.11249135205752846,0.19883838166191117
26770,0.14433046066134309,0.49868955935132403
26771,0.08508312619612925,0.23390556946207108
26772,0.11704518439077262,0.4591733649191079
26773,0.1343091064708712,0.368721829096829
26774,0.10465048486372014,0.37092163800252026
26775,0.0693594890947832,0.44259708864120634
26776,0.3532688655084167,0.41826847421584273
26777,0.2196213286627374,0.770614121989122
26778,0.1608260282745578,0.14870106554665385
26779,0.20184051406110234,0.5979297469959234
26780,0.17339620661989094,0.7865273584201603
26781,0.15429598179598183,0.4633777222233104
26782,0.08111935178111648,0.29746717409410917
26783,0.05827023399716898,0.22941187429365617
26784,0.24408062117620963,0.7199738323109066
26785,0.36234610317156757,0.6531014541873674
26786,0.10026964092392868,0.2995659723276416
26787,0.05691320063378885,0.5487503936122357
26788,0.11062695928369301,0.8021784482717145
26789,0.0645074794486559,0.2942547759974231
26790,0.04199387321198466,0.17933145852665322
26791,0.05896977218687744,0.10033341827304672
